Date,Open,Close,Low,High,Volume
2016-09-16,2336.7,2361.7,2320.0,2376.0,2179002
2016-09-19,2365.0,2411.45,2350.0,2427.0,1401273
2016-09-20,2411.0,2406.5,2385.4,2416.9,592276
2016-09-21,2407.7,2413.4,2400.7,2424.0,839010
2016-09-22,2425.25,2378.0,2371.1,2428.0,1428787
2016-09-23,2382.0,2398.1,2371.15,2403.85,900363
2016-09-26,2401.1,2401.1,2395.0,2419.1,876738
2016-09-27,2401.1,2436.1,2401.1,2448.0,1019396
2016-09-28,2431.0,2423.05,2415.2,2437.5,865664
2016-09-29,2435.0,2437.8,2419.6,2456.5,1801979
2016-09-30,2437.05,2430.8,2423.1,2449.8,1087682
2016-10-03,2450.0,2411.7,2401.1,2457.65,909440
2016-10-04,2420.0,2405.15,2398.0,2425.05,890359
2016-10-05,2408.0,2386.35,2376.1,2415.4,588177
2016-10-06,2395.0,2388.75,2372.75,2402.4,1133786
2016-10-07,2388.0,2367.8,2358.2,2388.0,908256
2016-10-10,2369.9,2380.3,2355.05,2386.9,601071
2016-10-13,2363.3,2328.9,2320.9,2369.9,2586667
2016-10-14,2315.0,2366.2,2291.0,2387.0,3870607
2016-10-17,2368.9,2362.45,2344.4,2375.8,1364173
2016-10-18,2376.0,2400.2,2354.8,2415.7,1064316
2016-10-19,2401.0,2395.1,2370.3,2410.0,992529
2016-10-20,2396.9,2401.15,2386.0,2409.35,632927
2016-10-21,2400.0,2428.65,2398.25,2431.9,629830
2016-10-24,2428.2,2427.7,2402.55,2434.9,626595
2016-10-25,2405.0,2398.45,2381.0,2414.6,886233
2016-10-26,2398.6,2396.25,2372.5,2402.75,718565
2016-10-27,2379.7,2418.1,2365.5,2429.5,1470801
2016-10-28,2410.0,2398.7,2388.0,2415.1,876051
2016-10-30,2398.7,2391.05,2382.0,2408.95,42676
2016-11-01,2399.7,2350.0,2334.15,2399.7,1467388
2016-11-02,2341.0,2304.05,2295.0,2344.0,1162538
2016-11-03,2294.0,2319.45,2284.5,2335.0,731655
2016-11-04,2320.0,2330.55,2294.0,2336.15,591876
2016-11-07,2337.9,2277.05,2260.05,2344.9,1024026
2016-11-08,2280.45,2283.2,2260.0,2307.0,966817
2016-11-09,2180.0,2169.85,2142.85,2275.0,2250113
2016-11-10,2204.8,2155.45,2140.8,2217.5,1086213
2016-11-11,2147.05,2101.15,2086.2,2147.05,1199212
2016-11-15,2116.9,2121.3,2051.9,2157.55,3145162
2016-11-16,2145.1,2189.6,2138.0,2208.9,2009979
2016-11-17,2185.0,2137.2,2130.15,2208.6,1252344
2016-11-18,2142.0,2125.1,2104.2,2150.0,1070267
2016-11-21,2126.2,2132.9,2105.0,2140.0,896683
2016-11-22,2132.0,2135.0,2122.05,2177.45,659430
2016-11-23,2149.0,2156.35,2127.2,2162.95,637904
2016-11-24,2154.9,2188.45,2137.0,2207.6,1513117
2016-11-25,2212.0,2300.35,2192.2,2307.25,2138074
2016-11-28,2294.0,2282.6,2251.9,2319.45,962148
2016-11-29,2275.0,2259.85,2252.55,2292.0,721148
2016-11-30,2265.0,2276.05,2242.3,2294.75,1722916
2016-12-01,2277.0,2263.45,2254.05,2290.0,561526
2016-12-02,2258.0,2221.85,2205.2,2270.8,999016
2016-12-05,2229.0,2186.0,2170.0,2237.85,1124763
2016-12-06,2190.0,2182.35,2169.9,2203.95,796722
2016-12-07,2182.2,2154.55,2145.65,2184.45,1032853
2016-12-08,2160.5,2195.75,2160.0,2199.0,1619773
2016-12-09,2205.0,2195.25,2173.3,2219.9,794359
2016-12-12,2194.8,2208.2,2163.0,2217.6,655879
2016-12-13,2218.0,2200.3,2183.0,2218.0,1073767
2016-12-14,2214.0,2207.6,2189.0,2224.7,935183
2016-12-15,2202.0,2259.3,2202.0,2272.1,2147705
2016-12-16,2277.0,2282.65,2252.0,2290.0,993615
2016-12-19,2280.0,2288.9,2261.3,2297.7,667105
2016-12-20,2292.0,2339.3,2287.05,2345.0,1461380
2016-12-21,2343.8,2313.6,2305.6,2343.8,1017451
2016-12-22,2306.0,2307.7,2286.2,2325.0,934150
2016-12-23,2300.0,2288.1,2278.8,2317.75,559477
2016-12-26,2266.0,2293.1,2266.0,2301.6,448704
2016-12-27,2281.5,2323.4,2281.5,2330.0,647346
2016-12-28,2326.7,2313.4,2303.15,2349.9,675209
2016-12-29,2303.0,2351.7,2303.0,2359.9,981758
2016-12-30,2354.9,2365.55,2345.65,2378.6,702874
2015-01-01,11214.8,11215.7,11166.35,11235.75,4246150
2015-01-02,11214.65,11372.1,11214.65,11399.1,10004862
2015-01-05,11369.35,11248.55,11186.95,11433.75,8858018
2015-01-06,11186.1,10959.9,10909.0,11186.1,12515739
2015-01-07,11013.2,10916.0,10889.55,11042.35,10976356
2015-01-08,11031.15,11018.15,10915.05,11058.15,12975117
2015-01-09,11058.05,11399.65,10932.2,11484.9,24812224
2015-01-12,11456.0,11543.65,11378.8,11565.85,16505074
2015-01-13,11545.25,11502.8,11437.95,11546.6,12511358
2015-01-14,11561.95,11614.3,11521.0,11631.55,12544558
2015-01-15,11672.3,11669.85,11575.1,11774.5,13882213
2015-01-16,11708.85,11659.6,11582.85,11708.85,12368107
2015-01-19,11732.5,11642.75,11629.05,11797.6,13696381
2015-01-20,11681.8,11695.0,11635.7,11721.9,11021415
2015-01-21,11732.45,11813.7,11659.7,11838.3,18679282
2015-01-22,11832.55,11850.85,11782.95,11884.5,15715515
2015-01-23,11877.9,11885.15,11767.4,11921.0,30034833
2015-01-27,11915.6,11693.45,11679.55,11917.25,17005337
2015-01-28,11712.55,11809.55,11693.8,11821.8,16876897
2015-01-29,11812.35,11824.15,11728.75,11861.5,15520902
2015-01-30,11998.35,11824.75,11799.35,12003.35,18559078
2015-02-02,11871.35,11943.95,11847.8,11972.6,17272113
2015-02-03,11963.75,11963.9,11849.0,12000.65,21053605
2015-02-04,12027.1,11938.9,11902.35,12027.1,14453955
2015-02-05,11967.75,12165.15,11963.8,12295.35,15826989
2015-02-06,12190.7,12267.95,12186.95,12380.45,11167848
2015-02-09,12160.9,12249.3,12160.9,12285.45,10996415
2015-02-10,12215.2,12162.85,12129.65,12297.75,17687306
2015-02-11,12198.45,12243.4,12149.35,12265.7,12905131
2015-02-12,12277.2,12372.0,12253.05,12397.0,16012381
2015-02-13,12369.6,12464.95,12353.25,12506.7,12674963
2015-02-16,12461.75,12487.2,12457.65,12541.05,14443816
2015-02-18,12511.05,12632.75,12442.7,12647.7,20825161
2015-02-19,12629.05,12723.8,12628.75,12737.1,15057455
2015-02-20,12750.0,12571.95,12550.75,12750.0,11383919
2015-02-23,12607.35,12531.3,12475.9,12709.9,19847310
2015-02-24,12572.25,12566.2,12514.65,12644.1,14110110
2015-02-25,12621.55,12633.35,12600.05,12719.9,13377354
2015-02-26,12623.8,12458.5,12429.5,12633.15,23693036
2015-02-27,12511.25,12554.95,12434.65,12578.1,39838312
2015-02-28,12612.05,12659.8,12493.95,12700.05,29800058
2015-03-02,12700.6,12663.7,12586.15,12719.05,15906080
2015-03-03,12687.25,12855.9,12635.5,12871.15,20847787
2015-03-04,12885.75,12730.6,12630.55,12908.1,15783902
2015-03-05,12719.1,12665.5,12615.45,12832.3,12712799
2015-03-09,12599.8,12422.25,12372.45,12599.8,15075030
2015-03-10,12404.35,12405.05,12307.1,12462.8,15020359
2015-03-11,12414.7,12352.35,12298.5,12585.55,18633646
2015-03-12,12377.2,12423.65,12329.25,12442.4,12590586
2015-03-13,12478.55,12312.15,12248.45,12478.55,17452417
2015-03-16,12308.95,12419.05,12297.2,12477.45,14394029
2015-03-17,12459.6,12383.15,12300.85,12498.85,15605123
2015-03-18,12434.25,12276.1,12256.55,12448.45,18361292
2015-03-19,12298.25,12275.2,12253.1,12356.65,22006335
2015-03-20,12306.6,12363.5,12274.35,12392.85,22332970
2015-03-23,12364.3,12244.45,12217.75,12443.25,15526314
2015-03-24,12266.2,12180.0,12154.45,12345.05,18635698
2015-03-25,12214.55,12225.6,12135.5,12256.4,20385357
2015-03-26,12168.3,11902.1,11865.85,12204.45,24114701
2015-03-27,11978.05,11968.5,11926.95,12146.9,25148358
2015-03-30,12010.65,12100.85,11971.4,12127.6,19114043
2015-03-31,12159.05,12083.0,12005.2,12206.8,20925080
2015-04-01,11997.45,11952.2,11880.15,12008.55,22785639
2015-04-06,11970.2,11969.25,11872.65,11997.3,22313207
2015-04-07,11999.25,11989.35,11881.5,12062.25,18185399
2015-04-08,12072.2,12214.3,12060.25,12249.1,22589842
2015-04-09,12296.75,12279.4,12171.15,12323.7,16386979
2015-04-10,12249.05,12294.75,12244.2,12335.75,16529907
2015-04-13,12329.1,12333.8,12222.9,12349.45,16440526
2015-04-15,12335.15,12154.55,12121.55,12369.4,20643272
2015-04-16,12187.55,12059.0,11947.05,12198.05,29861650
2015-04-17,11972.35,11803.05,11758.75,11972.35,25776375
2015-04-20,11805.5,11562.2,11538.85,11815.7,19374740
2015-04-21,11472.6,11558.4,11415.0,11602.8,28704508
2015-04-22,11552.5,11492.0,11345.1,11552.5,29316560
2015-04-23,11571.05,11451.55,11410.4,11572.05,22676328
2015-04-24,11474.4,11132.25,11077.3,11523.0,33250761
2015-04-27,11166.4,11097.9,10941.75,11170.5,25778777
2015-04-28,11097.2,11052.95,10979.2,11097.2,21748906
2015-04-29,11039.0,11094.4,10954.0,11150.55,21642220
2015-04-30,11056.5,11001.05,10916.65,11056.5,44619697
2015-05-04,11087.5,11191.45,11044.25,11217.2,24105159
2015-05-05,11252.3,11170.25,11115.5,11264.35,23245719
2015-05-06,11186.35,10938.85,10921.75,11191.7,21427168
2015-05-07,10934.8,11127.75,10900.9,11172.15,20232917
2015-05-08,11209.15,11172.05,11134.2,11268.6,14833619
2015-05-11,11225.15,11324.55,11184.65,11351.05,16210415
2015-05-12,11337.7,11118.45,11101.25,11337.7,15553985
2015-05-13,11168.7,11170.5,11040.55,11225.55,15567676
2015-05-14,11185.6,11093.6,11021.85,11185.6,11405303
2015-05-15,11109.7,11171.9,11099.2,11208.2,13739827
2015-05-18,11200.4,11279.45,11147.15,11294.45,15340671
2015-05-19,11264.8,11372.2,11260.2,11425.15,18508134
2015-05-20,11438.7,11571.7,11438.7,11583.05,16636054
2015-05-21,11589.0,11618.6,11572.6,11638.1,14274561
2015-05-22,11584.7,11728.4,11562.5,11745.75,15469572
2015-05-25,11740.75,11623.35,11602.1,11784.35,12204690
2015-05-26,11608.75,11581.9,11562.05,11649.7,11485852
2015-05-27,11481.45,11367.5,11338.05,11481.45,34196705
2015-05-28,11368.0,11450.85,11321.65,11483.75,25687562
2015-05-29,11443.1,11575.05,11411.15,11647.05,21994515
2015-06-01,11561.9,11525.65,11496.05,11629.55,6488920
2015-06-02,11523.85,11347.9,11326.7,11563.95,8320203
2015-06-03,11383.1,11361.1,11299.75,11421.55,10771997
2015-06-04,11375.85,11379.2,11331.85,11455.9,10994711
2015-06-05,11376.45,11291.55,11282.3,11444.0,9222361
2015-06-08,11302.75,11238.6,11196.5,11303.6,7174359
2015-06-09,11235.3,11142.95,11114.3,11254.45,9772047
2015-06-10,11145.4,11401.7,11136.4,11423.75,10375358
2015-06-11,11420.0,11227.15,11213.4,11444.75,9863136
2015-06-12,11222.8,11049.35,10930.45,11267.0,10397130
2015-06-15,11022.7,11093.85,10933.4,11170.05,7860544
2015-06-16,11111.8,11119.2,11046.0,11135.25,7153751
2015-06-17,11181.9,11143.5,11114.35,11221.15,9431119
2015-06-18,11191.75,11215.35,11164.1,11259.15,9612244
2015-06-19,11260.9,11243.65,11222.25,11353.25,14338486
2015-06-22,11266.9,11429.8,11260.95,11446.8,8220207
2015-06-23,11473.0,11341.15,11327.2,11479.6,7753653
2015-06-24,11400.35,11353.75,11324.35,11409.75,11817301
2015-06-25,11332.45,11210.4,11188.55,11332.7,14616477
2015-06-26,11238.8,11362.55,11238.8,11388.45,9837711
2015-06-29,11181.25,11133.65,10998.2,11230.2,17798757
2015-06-30,11101.6,11037.4,11016.75,11144.2,20432617
2015-07-01,11053.65,11213.6,11053.65,11239.75,11203755
2015-07-02,11246.5,11187.25,11161.3,11247.5,7915388
2015-07-03,11162.9,11198.65,11135.0,11214.65,6793457
2015-07-06,11079.2,11209.6,11072.55,11239.0,7684659
2015-07-07,11216.55,11143.85,11126.2,11264.55,8057280
2015-07-08,11079.95,11021.8,10980.05,11143.9,10958051
2015-07-09,11043.65,10828.7,10808.35,11065.4,11055212
2015-07-10,10950.25,10798.25,10759.85,10950.25,12483008
2015-07-13,10840.65,10998.85,10840.65,11011.65,9446174
2015-07-14,11024.4,11043.85,10945.05,11067.55,7884734
2015-07-15,11050.5,11150.25,11050.5,11165.5,8269479
2015-07-16,11191.15,11191.6,11123.15,11218.75,8500008
2015-07-17,11239.7,11269.2,11227.4,11306.4,10570702
2015-07-20,11270.4,11266.95,11197.85,11307.9,8618661
2015-07-21,11366.6,11655.45,11366.6,11798.2,27720978
2015-07-22,11647.5,11643.75,11509.15,11687.2,11766775
2015-07-23,11640.65,11558.7,11537.7,11719.05,11732414
2015-07-24,11568.85,11464.15,11452.25,11588.9,9525365
2015-07-27,11437.55,11362.45,11342.5,11438.0,12162185
2015-07-28,11378.8,11306.25,11283.7,11432.45,15300982
2015-07-29,11369.45,11470.7,11330.65,11494.85,10386211
2015-07-30,11530.3,11394.55,11365.05,11539.45,17524742
2015-07-31,11434.9,11594.15,11434.9,11622.2,10516985
2015-08-03,11490.6,11466.4,11441.5,11572.6,10341354
2015-08-04,11480.7,11415.55,11379.15,11489.15,11885605
2015-08-05,11470.2,11618.0,11460.0,11632.2,8826022
2015-08-06,11698.9,11616.5,11576.25,11739.1,9179852
2015-08-07,11604.45,11597.05,11580.35,11663.6,7127683
2015-08-10,11623.1,11573.9,11500.4,11696.85,5893113
2015-08-11,11637.25,11711.15,11605.9,11740.85,9042485
2015-08-12,11731.7,12006.8,11731.7,12026.05,14684514
2015-08-13,12029.5,11956.1,11916.3,12092.05,11503549
2015-08-14,11968.3,12048.45,11961.1,12129.0,8163202
2015-08-17,12057.65,12001.75,11920.25,12058.05,5813559
2015-08-18,12068.35,12159.4,12060.15,12250.1,8733323
2015-08-19,12215.55,12249.1,12165.4,12314.4,9509622
2015-08-20,12269.5,11985.25,11969.3,12269.5,11525076
2015-08-21,12009.8,12032.3,11825.05,12102.8,13519573
2015-08-24,11750.45,11455.15,11393.0,11797.95,18489060
2015-08-25,11524.85,11376.75,11140.8,11615.5,18912332
2015-08-26,11395.5,11284.1,11172.2,11548.85,15743530
2015-08-27,11438.7,11396.9,11351.05,11476.8,19464261
2015-08-28,11545.3,11588.25,11534.85,11645.05,10260637
2015-08-31,11691.65,11605.7,11537.65,11691.65,14353599
2015-09-01,11563.55,11476.45,11391.7,11712.5,10913875
2015-09-02,11563.95,11604.7,11510.9,11752.1,13877743
2015-09-03,11679.5,11672.85,11565.1,11722.8,10152727
2015-09-04,11689.8,11413.6,11392.95,11695.8,10137864
2015-09-07,11445.35,11318.3,11264.7,11451.1,7491038
2015-09-08,11331.65,11390.1,11279.2,11452.95,7477071
2015-09-09,11554.45,11504.9,11446.35,11604.15,9610428
2015-09-10,11439.45,11396.95,11292.2,11468.95,10971745
2015-09-11,11445.65,11432.25,11381.35,11519.75,9739475
2015-09-14,11482.4,11520.3,11405.35,11527.75,11970821
2015-09-15,11524.4,11536.35,11475.25,11545.3,8281022
2015-09-16,11614.7,11606.65,11563.75,11659.0,9333693
2015-09-18,11694.95,11726.7,11666.85,11801.9,14942207
2015-09-21,11659.85,11724.05,11643.25,11752.85,7953850
2015-09-22,11790.5,11705.55,11615.7,11941.8,13419167
2015-09-23,11659.9,11694.0,11586.9,11753.6,7367175
2015-09-24,11710.75,11954.1,11677.7,11971.65,14445662
2015-09-28,11989.3,11841.05,11819.2,12008.0,10087911
2015-09-29,11768.65,11863.95,11749.25,11963.2,11648411
2015-09-30,12010.75,12032.1,11904.05,12055.8,13509491
2015-10-01,11877.85,11867.85,11769.5,11998.7,26288267
2015-10-05,11867.45,12002.1,11867.45,12057.1,16800233
2015-10-06,12057.45,11889.9,11865.25,12077.95,13524583
2015-10-07,11878.35,11683.45,11660.7,11904.5,15333772
2015-10-08,11753.85,11669.7,11625.65,11802.15,17897751
2015-10-09,11734.3,11807.55,11676.15,11827.5,15125896
2015-10-12,11972.1,11630.65,11571.75,12019.05,21238152
2015-10-13,11595.85,11522.6,11452.3,11603.9,16373500
2015-10-14,11435.3,11362.9,11347.65,11479.4,12980966
2015-10-15,11407.55,11338.35,11310.45,11411.4,11632842
2015-10-16,11392.55,11337.8,11301.1,11402.5,10989166
2015-10-19,11360.4,11432.15,11305.85,11469.2,13238516
2015-10-20,11465.05,11529.6,11436.65,11539.25,11787811
2015-10-21,11552.6,11549.05,11501.05,11583.45,9019619
2015-10-23,11588.0,11552.0,11494.15,11588.2,9686270
2015-10-26,11597.9,11576.35,11537.1,11612.7,7032459
2015-10-27,11570.3,11583.55,11533.05,11601.25,9938684
2015-10-28,11546.05,11643.3,11537.3,11664.95,9103066
2015-10-29,11644.05,11548.15,11523.95,11644.05,15019766
2015-10-30,11549.75,11486.9,11467.9,11559.35,9332157
2015-11-02,11497.95,11546.25,11428.1,11560.6,8710084
2015-11-03,11576.0,11618.4,11565.0,11627.85,7567658
2015-11-04,11680.15,11551.6,11535.95,11688.65,9660090
2015-11-05,11573.1,11414.45,11397.5,11573.1,6980714
2015-11-06,11424.2,11485.45,11422.95,11515.65,6480847
2015-11-09,11364.55,11412.15,11320.95,11427.95,10126396
2015-11-10,11385.7,11214.2,11191.9,11387.85,6966686
2015-11-11,11305.2,11249.7,11230.4,11312.3,795240
2015-11-13,11110.75,11102.45,11027.1,11176.75,6927725
2015-11-16,11011.5,11003.8,10911.1,11061.6,8864946
2015-11-17,11032.45,11035.1,10974.55,11052.4,10917373
2015-11-18,10967.75,10836.7,10799.0,10969.5,10167296
2015-11-19,10910.5,11032.9,10893.75,11059.85,9850813
2015-11-20,11045.65,11118.85,11036.9,11195.75,10781657
2015-11-23,11126.25,11121.2,11084.35,11189.5,8727231
2015-11-24,11096.4,11057.35,11036.05,11122.05,7784549
2015-11-26,11048.4,11042.95,11013.9,11129.25,15045631
2015-11-27,11064.6,11122.9,11031.45,11136.4,7402279
2015-11-30,11147.85,11206.0,11083.6,11279.65,21067524
2015-12-01,11216.95,11256.3,11216.95,11293.2,9112940
2015-12-02,11298.9,11149.6,11134.9,11298.9,7524996
2015-12-03,11149.3,11081.9,11067.55,11153.7,9384540
2015-12-04,11034.65,10969.05,10940.3,11037.95,10062731
2015-12-07,11009.5,10998.65,10943.85,11054.0,8477753
